Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","10u","C_0805_2012Metric",102.450000,-25.550000,180.000000,top
"C2","10u","C_0805_2012Metric",114.525000,-25.475000,-90.000000,top
"C3","100n","C_0603_1608Metric",128.100000,-42.375000,180.000000,top
"C4","100n","C_0603_1608Metric",132.400000,-33.525000,0.000000,top
"C5","100n","C_0603_1608Metric",117.950000,-28.825000,90.000000,top
"C6","100n","C_0603_1608Metric",118.275000,-40.525000,180.000000,top
"C7","18p","C_0603_1608Metric",135.350000,-39.200000,-90.000000,top
"C8","18p","C_0603_1608Metric",135.350000,-36.100000,90.000000,top
"C9","100n","C_0603_1608Metric",135.550000,-28.425000,90.000000,top
"D1","green","LED_0805_2012Metric",120.600000,-21.900000,90.000000,top
"D2","red","LED_0805_2012Metric",123.200000,-21.975000,90.000000,top
"D3","yellow","LED_0805_2012Metric",125.550000,-21.950000,90.000000,top
"D4","yellow","LED_0805_2012Metric",128.025000,-21.962500,90.000000,top
"J1","Serial","PinHeader_1x04_P2.54mm_Vertical",102.250000,-43.600000,90.000000,top
"J2","USB_Mini_B","U-M-M5SS-W-2",109.700000,-34.375000,-90.000000,top
"J3","FTSH-105-01-F-DV-K","X1270WVS-2x05A-6TV01",147.850000,-35.350000,-90.000000,top
"J4","SWD","PinHeader_1x04_P2.54mm_Vertical",113.745000,-43.575000,90.000000,top
"J5","ST-Link","PinHeader_1x06_P2.54mm_Vertical",139.650000,-28.875000,0.000000,top
"J6","20-pin JTAG Edge Connector","20-pin JTAG",156.075000,-33.990000,0.000000,top
"Q1","FDV304P","SOT-23",131.600000,-22.225000,90.000000,top
"R1","1k5","R_0603_1608Metric",115.075000,-36.675000,180.000000,top
"R2","22R","R_0603_1608Metric",115.075000,-33.500000,180.000000,top
"R3","22R","R_0603_1608Metric",115.075000,-35.075000,180.000000,top
"R4","330","R_0603_1608Metric",120.650000,-26.550000,90.000000,top
"R5","330","R_0603_1608Metric",123.175000,-26.575000,90.000000,top
"R6","330","R_0603_1608Metric",125.575000,-26.550000,90.000000,top
"R7","330","R_0603_1608Metric",128.050000,-26.550000,90.000000,top
"R8","4k7","R_0603_1608Metric",131.650000,-28.400000,-90.000000,top
"R9","10k","R_0603_1608Metric",133.575000,-28.400000,-90.000000,top
"R10","10k","R_0603_1608Metric",114.350000,-22.800000,180.000000,top
"R11","4k7","R_0603_1608Metric",115.075000,-31.900000,0.000000,top
"R12","10k","R_0603_1608Metric",115.050000,-30.275000,180.000000,top
"S1","SW_Push_Open_Dual","UK-B0267-SP25Y",103.850000,-22.050000,180.000000,top
"U1","MCP1802","SOT-23-5",111.025000,-25.475000,0.000000,top
"U2","STM32F102CB","TQFP48",125.050000,-35.125000,90.000000,top
"X1","8MHz","6I08000F20UCG",132.425000,-37.825000,90.000000,top
