Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,27p,C0603,-163.205100,-113.272600,90.000000,bottom
C2,27p,C0603,-163.205100,-108.446600,90.000000,bottom
R12,10k,R0603,-142.123100,-102.350600,-90.000000,bottom
R13,4k7,R0603,-141.107100,-104.890600,-0.000000,bottom
R14,10k,R0603,-148.219100,-103.366600,-0.000000,bottom
C3,100n,C0603,156.093100,-97.524600,90.000000,top
C4,1u,C0603,136.281100,-101.080600,90.000000,top
C5,2u2,C0603,142.885100,-102.350600,-90.000000,top
C6,100n,C0603,155.077100,-112.764600,-90.000000,top
C7,100n,C0603,144.409100,-110.732600,180.000000,top
C8,100n,C0603,146.949100,-101.588600,90.000000,top
C9,100n,C0603,157.617100,-105.652600,-90.000000,top
C10,2u2,C0603,157.109100,-112.764600,-90.000000,top
JP1,,JP1,134.503100,-96.508600,90.000000,top
LED1,green,CHIPLED_0603,128.407100,-99.556600,90.000000,top
LED2,red,CHIPLED_0603,140.853100,-99.556600,90.000000,top
LED3,yellow,CHIPLED_0603,140.853100,-97.524600,90.000000,top
LED4,yellow,CHIPLED_0603,140.853100,-95.492600,90.000000,top
Q1,8MHz,HC49_S,161.173100,-109.970600,90.000000,top
Q2,IRLML5103,SOT23,164.475100,-97.270600,-90.000000,top
R1,1k5,R0603,136.535100,-105.652600,-90.000000,top
R2,22R,R0603,139.329100,-106.668600,180.000000,top
R3,22R,R0603,139.329100,-108.700600,180.000000,top
R6,470R,R0603,131.455100,-99.556600,180.000000,top
R7,470R,R0603,143.901100,-99.556600,180.000000,top
R8,470R,R0603,143.901100,-97.524600,180.000000,top
R9,470R,R0603,143.901100,-95.492600,180.000000,top
R10,4k7,R0603,160.157100,-97.524600,-90.000000,top
R11,10k,R0603,158.125100,-97.524600,-90.000000,top
SV1,,MA04-1,139.329100,-113.272600,0.000000,top
SV2,,MA05-2,168.031100,-106.160600,90.000000,top
U$1,STM32F_48PIN,TQFP48,151.013100,-107.176600,90.000000,top
U$2,TLV70033DCK,SC70-5L,140.091100,-102.096600,-90.000000,top
X1,MINI-USB-32005-301,32005-301,129.423100,-107.176600,0.000000,top
