Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","100n","C_0402_1005Metric",85.700000,-44.075000,90.000000,top
"C2","100n","C_0402_1005Metric",88.025000,-39.050000,90.000000,top
"D1","BAT54S","SOT-23",88.025000,-31.675000,90.000000,top
"D2","BAT54S","SOT-23",88.000000,-35.675000,90.000000,top
"J1","Conn_01x06_Male","PinHeader_1x06_P2.54mm_Vertical",92.225000,-31.575000,0.000000,top
"J3","Conn_02x05_Odd_Even","FTSH",89.800000,-51.200000,180.000000,top
"R1","0R","R_0402_1005Metric",85.675000,-46.100000,-90.000000,top
"R2","2k","R_0402_1005Metric",85.675000,-37.575000,90.000000,top
"R3","100k","R_0402_1005Metric",85.675000,-39.775000,-90.000000,top
"R4","100k","R_0402_1005Metric",85.700000,-42.025000,90.000000,top
"U2","ESP-01v090","ESP-01S",77.575000,-54.780000,0.000000,top
