Designator,Val,Package,MidX,MidY,Rotation,Layer
"JP2","","1X02SMD%2f90-BIGPADS",-154.501100,-111.153600,-90.000000,bottom
"BTN1","OMRON_SPST.B3U-1000P(M)","OMRON_B3U-1000P(M)",140.001100,-98.203600,180.000000,top
"BTN2","OMRON_SPST.B3U-1000P(M)","OMRON_B3U-1000P(M)",143.801100,-111.603600,180.000000,top
"C1","1uF","C0603K",136.751100,-99.203600,90.000000,top
"C2","1uF","C0603K",132.351100,-99.203600,90.000000,top
"C3","100nF","C0603K",152.251100,-103.653600,-90.000000,top
"C4","100nF","C0603K",143.751100,-98.203600,-90.000000,top
"C5","100nF","C0603K",139.501100,-108.053600,0.000000,top
"C6","100nF","C0603K",148.151100,-111.803600,90.000000,top
"C7","18pF","C0603K",150.451100,-111.603600,-90.000000,top
"C8","18pF","C0603K",157.951100,-111.103600,90.000000,top
"C9","100nF","C0603K",153.751100,-98.653600,0.000000,top
"C10","100nF","C0603K",156.801100,-108.503600,0.000000,top
"C11","100nF","C0603K",160.001100,-108.503600,180.000000,top
"CN1","","USB-MINIB",132.501100,-106.403600,-90.000000,top
"D1","GREEN","CHIPLED_0603",130.301100,-98.953600,180.000000,top
"D2","RED","CHIPLED_0603",164.051100,-97.353600,-90.000000,top
"D3","YELLOW","CHIPLED_0603",164.051100,-98.553600,-90.000000,top
"D4","YELLOW","CHIPLED_0603",164.051100,-99.753600,-90.000000,top
"IC1","STM32F_48PIN","TQFP48",146.301100,-105.003600,90.000000,top
"IC2","TXS0108","TSSOP20",158.401100,-104.253600,90.000000,top
"IC3","TLV70033DCK","TLV700_SC70-5L",134.551100,-99.153600,90.000000,top
"JP1","","2X05",165.401100,-106.853600,-90.000000,top
"Q1","IRLML5103","SOT23",160.701100,-111.103600,-90.000000,top
"R1","22Ω","0603-MINI",139.501100,-106.653600,180.000000,top
"R2","22Ω","0603-MINI",139.501100,-105.353600,180.000000,top
"R3","1K5","0603-MINI",139.501100,-104.053600,180.000000,top
"R4","10K","0603-MINI",139.501100,-101.453600,0.000000,top
"R5","4K7","0603-MINI",139.501100,-102.753600,180.000000,top
"R6","10K","0603-MINI",141.101100,-100.153600,0.000000,top
"R7","10K","0603-MINI",156.951100,-100.003600,180.000000,top
"R8","4K7","0603-MINI",157.551100,-98.653600,0.000000,top
"R9","10K","0603-MINI",146.751100,-111.803600,90.000000,top
"R10","390Ω","0603-MINI",129.051100,-99.403600,-90.000000,top
"R11","390Ω","0603-MINI",161.151100,-97.353600,0.000000,top
"R12","390Ω","0603-MINI",161.151100,-98.653600,0.000000,top
"R13","390Ω","0603-MINI",161.151100,-99.953600,0.000000,top
"U$32","","LP_NUMBER_SILK_TOP",135.001100,-108.103600,90.000000,top
"Y1","8MHz","CRYSTAL-SMD-5X3",154.201100,-111.353600,180.000000,top
