"Source:","C:\Users\Sergio\Documents\EOS\pikim\blackmagic_richardeoin.kicad_sch"
"Date:","08/09/2022 11:47:48"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","36"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Feld5","Feld6","LCSC Number Part"
"","","BTN1","OMRON_SPST.B3U-1000P(M)","blackmagic_richardeoin-rescue:BLACKMAGIC_RICHARDEOIN_OMRON_SPST.B3U-1000P_M_","BLACKMAGIC_RICHARDEOIN_OMRON_B3U-1000P(M)","","","","C231329"
"","","BTN2","OMRON_SPST.B3U-1000P(M)","blackmagic_richardeoin-rescue:BLACKMAGIC_RICHARDEOIN_OMRON_SPST.B3U-1000P_M_","BLACKMAGIC_RICHARDEOIN_OMRON_B3U-1000P(M)","","","","C231329"
"","","C1","1uF","blackmagic_richardeoin-rescue:RESISTOR_C-EUC0603K","RESISTOR_C0603K","","","","C1592"
"","","C2","1uF","blackmagic_richardeoin-rescue:RESISTOR_C-EUC0603K","RESISTOR_C0603K","","","","C1592"
"","","C3","100nF","blackmagic_richardeoin-rescue:RESISTOR_C-EUC0603K","RESISTOR_C0603K","","","","C1591"
"","","C4","100nF","blackmagic_richardeoin-rescue:RESISTOR_C-EUC0603K","RESISTOR_C0603K","","","","C1591"
"","","C5","100nF","blackmagic_richardeoin-rescue:RESISTOR_C-EUC0603K","RESISTOR_C0603K","","","","C1591"
"","","C6","100nF","blackmagic_richardeoin-rescue:RESISTOR_C-EUC0603K","RESISTOR_C0603K","","","","C1591"
"","","C7","18pF","blackmagic_richardeoin-rescue:RESISTOR_C-EUC0603K","RESISTOR_C0603K","","","","C1647"
"","","C8","18pF","blackmagic_richardeoin-rescue:RESISTOR_C-EUC0603K","RESISTOR_C0603K","","","","C1647"
"","","C9","100nF","blackmagic_richardeoin-rescue:RESISTOR_C-EUC0603K","RESISTOR_C0603K","","","","C1591"
"","","C10","100nF","blackmagic_richardeoin-rescue:RESISTOR_C-EUC0603K","RESISTOR_C0603K","","","","C1591"
"","","C11","100nF","blackmagic_richardeoin-rescue:RESISTOR_C-EUC0603K","RESISTOR_C0603K","","","","C1591"
"","","CN1","~","blackmagic_richardeoin-rescue:MICROBUILDER_V3_USBMINIB","MICROBUILDER_V3_USB-MINIB","","","","C136452"
"","","D1","GREEN","blackmagic_richardeoin-rescue:LED_LEDCHIPLED_0603","LED_CHIPLED_0603","","","","C434420"
"","","D2","RED","blackmagic_richardeoin-rescue:LED_LEDCHIPLED_0603","LED_CHIPLED_0603","","","","C375444"
"","","D3","YELLOW","blackmagic_richardeoin-rescue:LED_LEDCHIPLED_0603","LED_CHIPLED_0603","","","","C89811"
"","","D4","YELLOW","blackmagic_richardeoin-rescue:LED_LEDCHIPLED_0603","LED_CHIPLED_0603","","","","C89811"
"","","IC1","STM32F_48PIN","blackmagic_richardeoin-rescue:STM32F_STM32F_48PIN","STM32F_TQFP48","","","","C8304"
"","","IC2","TXS0108","blackmagic_richardeoin-rescue:DAN-TRANSLATE_TX0108PWR","DAN-TRANSLATE_TSSOP20","","","","C17206"
"","","IC3","TLV70033DCK","blackmagic_richardeoin-rescue:BLACKMAGIC_RICHARDEOIN_TLV700_TLV700DCK","BLACKMAGIC_RICHARDEOIN_TLV700_SC70-5L","","","","C47945"
"","","Q1","IRLML5103","blackmagic_richardeoin-rescue:TRANSISTOR-SMALL-SIGNAL_BSS84","TRANSISTOR-SMALL-SIGNAL_SOT23","","","","C2591"
"","","R1","22O","blackmagic_richardeoin-rescue:MICROBUILDER_RESISTOR0603MINI","MICROBUILDER_0603-MINI","","","","C23345"
"","","R2","22O","blackmagic_richardeoin-rescue:MICROBUILDER_RESISTOR0603MINI","MICROBUILDER_0603-MINI","","","","C23345"
"","","R3","1K5","blackmagic_richardeoin-rescue:MICROBUILDER_RESISTOR0603MINI","MICROBUILDER_0603-MINI","","","","C22843"
