Designator,Val,Package,MidX,MidY,Rotation,Layer
"C5","0.1","0402",-73.325000,-101.950000,180.000000,bottom
"C7","16u*10V","C3216_A",-74.625000,-97.550000,0.000000,bottom
"C9","0.1","0402",-94.275000,-107.850000,180.000000,bottom
"C11","1u","0603",-92.325000,-103.625000,-90.000000,bottom
"C12","0.1","0402",-89.525000,-103.425000,-90.000000,bottom
"C13","0.1","0402",-94.200000,-106.275000,180.000000,bottom
"C14","0.1","0402",-85.500000,-108.225000,180.000000,bottom
"C15","16u*10V","C3216_A",-80.475000,-97.550000,0.000000,bottom
"C16","0.1","0402",-81.900000,-106.075000,90.000000,bottom
"C17","0.1","0402",-83.325000,-104.575000,-90.000000,bottom
"C20","0.1","0402",-100.700000,-99.675000,180.000000,bottom
"C23","0.1","0402",-103.775000,-106.275000,180.000000,bottom
"C24","0.1","0402",-103.650000,-110.025000,180.000000,bottom
"C25","0.1","0402",-103.800000,-102.825000,180.000000,bottom
"C26","0.1","0402",-103.700000,-99.650000,180.000000,bottom
"D1","USBLC6-2SC6","SOT23-6L",-73.425000,-108.000000,180.000000,bottom
"R2","22","0402",-74.250000,-111.600000,-90.000000,bottom
"R3","22","0402",-72.600000,-111.600000,-90.000000,bottom
"R6","10k","0402",-83.325000,-101.575000,90.000000,bottom
"R7","22","0402",-82.575000,-111.200000,0.000000,bottom
"R8","22","0402",-82.575000,-109.775000,0.000000,bottom
"R9","1.5k","0402",-82.550000,-108.325000,0.000000,bottom
"C1","4.7u","0603",94.900000,-96.100000,-90.000000,top
"C2","0.1","0402",97.650000,-99.100000,0.000000,top
"C3","22","0402",97.500000,-112.700000,180.000000,top
"C4","4.7u","0603",100.850000,-96.250000,90.000000,top
"C6","22","0402",97.225000,-106.800000,0.000000,top
"C8","0.1","0402",69.300000,-112.925000,180.000000,top
"C10","0.1","0402",97.225000,-105.400000,0.000000,top
"C18","0.1","0402",103.225000,-95.300000,0.000000,top
"C19","0.1","0402",102.325000,-103.150000,0.000000,top
"C21","0.1","0402",102.300000,-106.700000,0.000000,top
"C22","0.1","0402",102.350000,-110.475000,0.000000,top
"IC1","LK112M33","SOT23-5L",97.875000,-96.175000,-90.000000,top
"IC2","B0505S-1W","4SIP",77.525000,-99.785000,0.000000,top
"IC3","ADUM4160","SO-16W",77.825000,-108.045000,0.000000,top
"IC4","STM32F103CU","TQFP48",90.350000,-106.975000,90.000000,top
"IC5","74AVC2T45DCU","S-PDSO-G8",102.400000,-101.400000,0.000000,top
"IC6","74AVC2T45DCU","S-PDSO-G8",102.550000,-108.575000,0.000000,top
"IC7","74AVC2T45DCU","S-PDSO-G8",102.325000,-104.900000,0.000000,top
"IC8","74AVC2T45DCU","S-PDSO-G8",102.350000,-112.300000,0.000000,top
"LED1","GREEN","LED0603",87.100000,-95.800000,90.000000,top
"LED2","RED","LED0603",88.625000,-95.800000,90.000000,top
"LED3","ORANGE","LED0603",90.125000,-95.800000,90.000000,top
"LED4","YELLOW","LED0603",91.600000,-95.800000,90.000000,top
"Q1","8MHz","3225",97.900000,-109.750000,-90.000000,top
"R1","330","ARRAY_0603",88.900000,-99.150000,0.000000,top
"R4","10k","0402",85.100000,-100.270000,180.000000,top
"R10","4.7k","0402",103.900000,-98.800000,90.000000,top
"R11","10k","0402",103.225000,-96.700000,0.000000,top
"R12","10k","0402",101.700000,-99.375000,0.000000,top
"R13","10k","0402",106.450000,-95.125000,0.000000,top
"R14","100","ARRAY_0603",106.775000,-103.975000,-90.000000,top
"R15","100","ARRAY_0603",106.775000,-108.400000,-90.000000,top
"SW1","B3U-1000P","B3U-1000P",84.925000,-96.945000,90.000000,top
"VT1","IRLML2502","SOT23",98.050000,-101.600000,-90.000000,top
"VT2","IRLML2502","SOT23",93.700000,-99.650000,90.000000,top
"VT3","IRLML6402","SOT23",106.475000,-98.000000,180.000000,top
"X1","SWD","PH1X03_1.27",92.400000,-112.970000,0.000000,top
"X2","TARGET SWD/JTAG","IDC-10(FACE)",109.580000,-104.330000,0.000000,top
"X4","USB_A-MALE","USB-A-TH_48037-0001",70.080000,-103.880000,-90.000000,top
