"Source:","C:\Users\Sergio\Documents\EOS\railgun\railgun_KiCAD\BMP2_Railgun.kicad_sch"
"Date:","07/09/2022 18:05:11"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC Number Part"
"","","C1","4.7u","BMP2_Railgun-eagle-import:C_0603","BMP2_Railgun:0603","","C8032"
"","","C2","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C3","22","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C1555"
"","","C4","4.7u","BMP2_Railgun-eagle-import:C_0603","BMP2_Railgun:0603","","C8032"
"","","C5","0.1","BMP2_Railgun-eagle-import:C_0603","BMP2_Railgun:0402","","C83056"
"","","C6","22","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C1555"
"","","C7","16u*10V","BMP2_Railgun-eagle-import:C_POL_3216{slash}A","BMP2_Railgun:C3216_A","","C30330"
"","","C8","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C9","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C10","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C11","1u","BMP2_Railgun-eagle-import:C_0603","BMP2_Railgun:0603","","C1592"
"","","C12","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C13","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C14","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C15","16u*10V","BMP2_Railgun-eagle-import:C_POL_3216{slash}A","BMP2_Railgun:C3216_A","","C30330"
"","","C16","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C17","0.1","BMP2_Railgun-eagle-import:C_0603","BMP2_Railgun:0402","","C83056"
"","","C18","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C19","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C20","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C21","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C22","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C23","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C24","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C25","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","C26","0.1","BMP2_Railgun-eagle-import:C_0402","BMP2_Railgun:0402","","C83056"
"","","D1","USBLC6-2SC6","BMP2_Railgun-eagle-import:USBLC6-2SC6","BMP2_Railgun:SOT23-6L","","C2827654"
"","","IC1","LK112M33","BMP2_Railgun-eagle-import:LK112M33","BMP2_Railgun:SOT23-5L","","C155584"
"","","IC2","B0505S-1W","BMP2_Railgun-eagle-import:B0505S-1W","BMP2_Railgun:4SIP","","C2912568"
"","","IC3","ADUM4160","BMP2_Railgun-eagle-import:ADUM4160","BMP2_Railgun:SO-16W","","C57791"
"","","IC4","STM32F103CU","BMP2_Railgun-eagle-import:STM32F103CU","bmp_entropia:TQFP48","","C8734"
"","","IC5","74AVC2T45DCU","BMP2_Railgun-eagle-import:74AVC2T45DCU","BMP2_Railgun:S-PDSO-G8","","C140318"
"","","IC6","74AVC2T45DCU","BMP2_Railgun-eagle-import:74AVC2T45DCU","BMP2_Railgun:S-PDSO-G8","","C140318"
"","","IC7","74AVC2T45DCU","BMP2_Railgun-eagle-import:74AVC2T45DCU","BMP2_Railgun:S-PDSO-G8","","C140318"
"","","IC8","74AVC2T45DCU","BMP2_Railgun-eagle-import:74AVC2T45DCU","BMP2_Railgun:S-PDSO-G8","","C140318"
"","","LED1","GREEN","BMP2_Railgun-eagle-import:SMD_LED_0603","BMP2_Railgun:LED0603","","C434420"
"","","LED2","RED","BMP2_Railgun-eagle-import:SMD_LED_0603","BMP2_Railgun:LED0603","","C375444"
"","","LED3","ORANGE","BMP2_Railgun-eagle-import:SMD_LED_0603","BMP2_Railgun:LED0603","","C146215"
"","","LED4","YELLOW","BMP2_Railgun-eagle-import:SMD_LED_0603","BMP2_Railgun:LED0603","","C89811"
"","","Q1","8MHz","BMP2_Railgun-eagle-import:SMD_3225","BMP2_Railgun:3225","","C403948"
"","","R1","330","BMP2_Railgun-eagle-import:R_ARRAY_4X0603","BMP2_Railgun:ARRAY_0603","","C12018"
"","","R2","22","BMP2_Railgun-eagle-import:R_0402","BMP2_Railgun:0402","","C25152"
"","","R3","22","BMP2_Railgun-eagle-import:R_0402","BMP2_Railgun:0402","","C25152"
"","","R4","10k","BMP2_Railgun-eagle-import:R_0402","BMP2_Railgun:0402","","C140214"
"","","R5","4.7k","BMP2_Railgun-eagle-import:R_0402","BMP2_Railgun:0402","","C304616"
"","","R6","10k","BMP2_Railgun-eagle-import:R_0402","BMP2_Railgun:0402","","C140214"
"","","R7","22","BMP2_Railgun-eagle-import:R_0402","BMP2_Railgun:0402","","C25152"
"","","R8","22","BMP2_Railgun-eagle-import:R_0402","BMP2_Railgun:0402","","C25152"
"","","R9","1.5k","BMP2_Railgun-eagle-import:R_0402","BMP2_Railgun:0402","","C286554"
"","","R10","4.7k","BMP2_Railgun-eagle-import:R_0402","BMP2_Railgun:0402","","C304616"
"","","R11","10k","BMP2_Railgun-eagle-import:R_0402","BMP2_Railgun:0402","","C140214"
"","","R12","10k","BMP2_Railgun-eagle-import:R_0402","BMP2_Railgun:0402","","C140214"
"","","R13","10k","BMP2_Railgun-eagle-import:R_0402","BMP2_Railgun:0402","","C140214"
"","","R14","100","BMP2_Railgun-eagle-import:R_ARRAY_4X0603","BMP2_Railgun:ARRAY_0603","","C79203"
"","","R15","100","BMP2_Railgun-eagle-import:R_ARRAY_4X0603","BMP2_Railgun:ARRAY_0603","","C79203"
"","","SW1","B3U-1000P","BMP2_Railgun-eagle-import:B3U-1000P","BMP2_Railgun:B3U-1000P","","C231329"
"","","VT1","IRLML2502","BMP2_Railgun-eagle-import:IRLML2502","BMP2_Railgun:SOT23","","C518800"
"","","VT2","IRLML2502","BMP2_Railgun-eagle-import:IRLML2502","BMP2_Railgun:SOT23","","C518800"
"","","VT3","IRLML6402","BMP2_Railgun-eagle-import:IRLML6402","BMP2_Railgun:SOT23","","C347504"
"","","X4","USB_A-MALE","BMP2_Railgun-eagle-import:USB_A-MALE","BMP2_Railgun:USB-A-TH_48037-0001","","C112454"
