Designator,Val,Package,MidX,MidY,Rotation,Layer
BTN1,SPST.B3U-1000P(M)-B,B3U-1000P(M)-B,160.001100,-91.003600,180.000000,top
BTN2,SPST.B3U-1000P(M)-B,B3U-1000P(M)-B,170.376100,-103.753600,180.000000,top
C1,1µF,C0603K,160.001100,-94.253600,0.000000,top
C2,1µF,C0603K,160.001100,-93.003600,180.000000,top
C3,100nF,C0603K,173.501100,-103.253600,-90.000000,top
C4,100nF,C0603K,186.075000,-104.200000,180.000000,top
C5,100nF,C0603K,160.001100,-101.753600,180.000000,top
C6,100nF,C0603K,173.001100,-91.003600,-90.000000,top
C7,18pF,C0603K,174.751100,-103.253600,-90.000000,top
C8,18pF,C0603K,182.925000,-104.200000,180.000000,top
CN1,,USB-MINIB,153.001100,-99.503600,-90.000000,top
D1,GREEN,CHIPLED_0603,150.001100,-92.753600,90.000000,top
D2,RED,CHIPLED_0603,150.001100,-91.753600,90.000000,top
D3,YELLOW,CHIPLED_0603,150.001100,-90.753600,90.000000,top
D4,YELLOW,CHIPLED_0603,150.001100,-89.753600,90.000000,top
IC1,STM32F_48PIN,TQFP48,167.001100,-97.253600,90.000000,top
IC2,TXS0108,TSSOP20,177.251100,-97.003600,90.000000,top
IC3,TLV70033DCK,SC70-5L,156.751100,-92.878600,90.000000,top
JP1,,1X04_LOCK,167.001100,-103.753600,180.000000,top
JTAG1,,2X05_1.27MM_SMT,184.751100,-97.003600,90.000000,top
Q1,IRLML5103,SOT23,179.001100,-91.003600,-90.000000,top
R1,22Ω,0603-MINI,160.001100,-100.503600,180.000000,top
R2,22Ω,0603-MINI,160.001100,-99.253600,180.000000,top
R3,1K5,0603-MINI,160.001100,-98.003600,180.000000,top
R4,10K,0603-MINI,160.001100,-95.503600,0.000000,top
R5,10K,0603-MINI,163.501100,-91.003600,0.000000,top
R6,10K,0603-MINI,174.501100,-91.003600,90.000000,top
R7,4K7,0603-MINI,160.001100,-96.753600,180.000000,top
R8,4K7,0603-MINI,176.001100,-91.003600,-90.000000,top
R9,390Ω,0603-MINI,153.751100,-93.503600,180.000000,top
R10,390Ω,0603-MINI,153.751100,-92.253600,180.000000,top
R11,390Ω,0603-MINI,153.751100,-91.003600,180.000000,top
R12,390Ω,0603-MINI,153.751100,-89.753600,180.000000,top
R13,10K,0603-MINI,171.376100,-101.753600,180.000000,top
Y1,8MHz,CRYSTAL-SMD-5X3,178.376100,-103.253600,180.000000,top
