Designator,Val,Package,MidX,MidY,Rotation,Layer
"FID4","Fiducial","Fiducial_1mm_Mask2mm",-121.500000,-123.000000,0.000000,bottom
"FID5","Fiducial","Fiducial_1mm_Mask2mm",-160.500000,-138.500000,0.000000,bottom
"FID6","Fiducial","Fiducial_1mm_Mask2mm",-121.500000,-138.500000,0.000000,bottom
"J202","PH1x4","JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal",-165.000000,-130.000000,-90.000000,bottom
"C101","1u","C_0603_1608Metric",130.048000,-122.301000,-90.000000,top
"C102","10n","C_0603_1608Metric",133.400800,-125.069600,180.000000,top
"C103","1u","C_0603_1608Metric",135.900000,-124.300000,-90.000000,top
"C201","100n","C_0402_1005Metric",155.448000,-121.158000,180.000000,top
"C202","100n","C_0402_1005Metric",157.861000,-121.158000,0.000000,top
"C203","100n","C_0402_1005Metric",155.448000,-133.350000,0.000000,top
"C204","100n","C_0402_1005Metric",157.861000,-133.350000,0.000000,top
"C205","100n","C_0402_1005Metric",155.448000,-125.222000,180.000000,top
"C206","100n","C_0402_1005Metric",157.861000,-125.222000,0.000000,top
"C207","100n","C_0402_1005Metric",155.448000,-129.286000,180.000000,top
"C208","100n","C_0402_1005Metric",157.861000,-129.286000,0.000000,top
"C301","100n","C_0402_1005Metric",142.475000,-138.750000,90.000000,top
"C302","100n","C_0402_1005Metric",139.192000,-135.128000,180.000000,top
"C303","100n","C_0402_1005Metric",149.275000,-137.125000,-90.000000,top
"C304","100n","C_0402_1005Metric",141.550000,-126.100000,0.000000,top
"C305","100n","C_0402_1005Metric",150.475000,-130.900000,-90.000000,top
"C306","100n","C_0402_1005Metric",148.250000,-137.125000,-90.000000,top
"C307","4u7","C_0603_1608Metric",139.600000,-137.160000,-90.000000,top
"C308","1u","C_0603_1608Metric",151.750000,-131.050000,-90.000000,top
"C309","100n","C_0402_1005Metric",148.209000,-124.333000,90.000000,top
"D301","PINK","LED_1206_3216Metric",138.000000,-122.525000,-90.000000,top
"D302","RED","LED_0603_1608Metric",146.700000,-121.700000,-90.000000,top
"D303","ORANGE","LED_0603_1608Metric",143.700000,-121.700000,-90.000000,top
"D304","YELLOW","LED_0603_1608Metric",140.700000,-121.700000,-90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",121.500000,-121.500000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",168.500000,-138.500000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",168.500000,-121.500000,0.000000,top
"J201","Conn_01x10_Male","PinHeader_2x05_P1.27mm_Vertical_SMD",166.000000,-130.000000,180.000000,top
"J301","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",123.500000,-130.000000,-90.000000,top
"JP201","RX-KEY","R_0402_1005Metric",156.718000,-137.033000,180.000000,top
"JP202","TX-TDI","R_0402_1005Metric",159.893000,-124.079000,0.000000,top
"Q201","DMG1023UV-7","DMG1023UV-7",151.257000,-122.301000,0.000000,top
"Q203","DMG1024UV-7","DMG1023UV-7",151.447500,-124.841000,0.000000,top
"R201","100","R_0402_1005Metric",160.528000,-126.238000,180.000000,top
"R202","100","R_0402_1005Metric",160.528000,-131.318000,180.000000,top
"R203","100","R_0402_1005Metric",160.528000,-127.254000,180.000000,top
"R204","100","R_0402_1005Metric",160.600000,-133.096000,180.000000,top
"R205","100","R_0402_1005Metric",156.718000,-138.049000,180.000000,top
"R206","100","R_0402_1005Metric",160.528000,-128.778000,180.000000,top
"R207","100","R_0402_1005Metric",160.200000,-121.600000,180.000000,top
"R208","100","R_0402_1005Metric",160.528000,-125.222000,180.000000,top
"R209","100","R_0402_1005Metric",161.036000,-134.300000,180.000000,top
"R210","10k","R_0402_1005Metric",149.225000,-121.793000,-90.000000,top
"R211","10k","R_0402_1005Metric",153.479500,-124.841000,-90.000000,top
"R301","22","R_0402_1005Metric",133.350000,-131.064000,180.000000,top
"R302","4k7","R_0402_1005Metric",131.318000,-133.096000,0.000000,top
"R303","22","R_0402_1005Metric",133.350000,-130.048000,180.000000,top
"R304","4k7","R_0402_1005Metric",149.225000,-124.333000,-90.000000,top
"R305","10k","R_0402_1005Metric",145.400000,-124.333000,90.000000,top
"R306","5k1","R_0402_1005Metric",129.032000,-132.969000,0.000000,top
"R307","5k1","R_0402_1005Metric",129.159000,-127.889000,0.000000,top
"R308","10k","R_0402_1005Metric",134.366000,-133.096000,0.000000,top
"R309","1k5","R_0402_1005Metric",134.366000,-132.080000,0.000000,top
"R310","10k","R_0402_1005Metric",133.450000,-128.075000,-90.000000,top
"R311","330","R_0402_1005Metric",135.900000,-121.600000,90.000000,top
"R312","330","R_0402_1005Metric",145.300000,-121.900000,90.000000,top
"R313","330","R_0402_1005Metric",142.200000,-121.700000,90.000000,top
"R314","330","R_0402_1005Metric",141.900000,-124.500000,90.000000,top
"SW301","SW_DIP_x01","SW_SPST_PTS810",136.825000,-127.725000,180.000000,top
"U101","LP2985-3.3","SOT-23-5",133.096000,-122.428000,0.000000,top
"U201","SN74LVC2T45DCUR","VSSOP-8_2.3x2mm_P0.5mm",156.591000,-122.936000,0.000000,top
"U202","SN74LVC2T45DCUR","VSSOP-8_2.3x2mm_P0.5mm",156.591000,-127.000000,0.000000,top
"U203","SN74LVC2T45DCUR","VSSOP-8_2.3x2mm_P0.5mm",156.591000,-135.128000,0.000000,top
"U204","SN74LVC2T45DCUR","VSSOP-8_2.3x2mm_P0.5mm",156.591000,-131.064000,0.000000,top
"U301","USBLC6-2SC6","SOT-23-6",130.302000,-130.556000,180.000000,top
"U302","STM32F103CBUx","TQFP48",144.526000,-131.826000,90.000000,top
"Y301","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",151.638000,-135.382000,90.000000,top
